Depth,Instances,Average Time
4,1,1754.00
6,2,3653.50
7,3,5162.67
8,1,7306.00
9,6,9449.00
10,6,15001.83
11,6,21187.00
12,22,30299.64
13,27,49463.81
14,58,80682.62
15,73,138115.92
16,129,221631.16
17,141,344199.09
18,266,487824.74
19,312,801688.34
20,484,1345481.17
21,458,2154588.86
22,666,3246967.30
23,545,6419617.97
24,616,8118161.65
25,448,17213969.13
26,433,20241928.66
27,167,44077044.53
28,104,54778028.29
29,19,79321577.68
30,7,104301907.00
