Depth,Instances,Average Time
4,1,1461.00
6,2,2776.50
7,3,3701.33
8,1,3799.00
9,6,5163.00
10,6,32340.67
11,6,9254.33
12,22,10268.18
13,27,12403.67
14,58,22124.31
15,73,31353.42
16,129,41651.68
17,141,60362.45
18,266,73575.58
19,312,116205.43
20,484,151220.52
21,458,219697.70
22,666,291503.70
23,545,428198.42
24,616,552801.72
25,448,785724.00
26,433,1119010.98
27,167,1652652.28
28,104,2430062.48
29,19,3226295.74
30,7,6838010.43
