Depth,Instances,Average Cost
4,1,10.00
6,2,23.50
7,3,35.67
8,1,54.00
9,6,71.67
10,6,116.17
11,6,160.50
12,22,229.77
13,27,386.70
14,58,604.66
15,73,1033.60
16,129,1427.04
17,141,2519.73
18,266,3576.01
19,312,5672.83
20,484,9357.45
21,458,14733.89
22,666,21486.60
23,545,39309.61
24,616,48574.72
25,448,89789.15
26,433,103834.26
27,167,191662.32
28,104,233220.66
29,19,320806.84
30,7,387555.00
