Depth,Instances,Average Cost
4,1,10.00
6,2,20.50
7,3,27.67
8,1,29.00
9,6,39.00
10,6,50.00
11,6,59.83
12,22,76.59
13,27,91.78
14,58,163.95
15,73,233.70
16,129,306.96
17,141,431.91
18,266,524.46
19,312,825.91
20,484,1050.64
21,458,1497.49
22,666,2013.09
23,545,2853.40
24,616,3733.95
25,448,5269.93
26,433,7461.67
27,167,10673.74
28,104,15456.80
29,19,20679.37
30,7,38295.43
